alzheimers_mortality,pm2.5
50.8,7.590419665
26.8,1.861773952
32.7,4.624284422
45.6,7.064178054
40.6,6.528815098
36.9,3.502367071
20.3,5.464162307
35.1,7.791054126
19.8,6.936202245
45.9,7.385999794
22.8,0
36.7,4.482078511
28.7,7.390598143
34.3,7.513311561
31.9,6.181563625
25.3,5.245605455
32.3,7.143327315
45.8,7.71285882
27.9,4.076034603
15.8,7.488358156
18.6,5.226798563
36.9,5.502899003
35,5.502899003
58,7.086347121
34.9,6.507034642
23.8,4.304163215
32.2,4.538429514
28.7,3.924016493
26.1,4.455067829
22.1,7.476640084
26.6,3.552042508
14,5.894167099
37.5,6.600725204
39.7,4.05526442
38,7.308513571
38.2,6.469995321
37,3.711166023
23.2,7.258078355
31.9,6.890642712
40.4,4.29846714
39.7,7.224735994
44.4,7.220117808
44.6,6.132362123
42.9,3.827359737
31,4.697100753
28.7,6.413157414
42.9,4.089449011
35.9,6.291770801
33.2,5.484601329
32.1,3.359604702
